student_number,school_year,sem,year_level,section,status
15-0330,2018-2019,1st Sem,III,,REGULAR
14-0336,2018-2019,1st Sem,III,,REGULAR
05-1319,2018-2019,1st Sem,,,IRREGULAR
10-1702,2018-2019,1st Sem,,,REGULAR
10-1706,2018-2019,1st Sem,,,IRREGULAR
10-1715,2018-2019,1st Sem,,,IRREGULAR
11-0126,2018-2019,1st Sem,,,IRREGULAR
11-0162,2018-2019,1st Sem,,,IRREGULAR
12-0058,2018-2019,1st Sem,,,REGULAR
12-0156,2018-2019,1st Sem,,,IRREGULAR
12-0225,2018-2019,1st Sem,,,IRREGULAR
12-0238,2018-2019,1st Sem,,,IRREGULAR
13-0017,2018-2019,1st Sem,,,IRREGULAR
13-0048,2018-2019,1st Sem,,,IRREGULAR
13-0051,2018-2019,1st Sem,,,IRREGULAR
13-0060,2018-2019,1st Sem,,,IRREGULAR
13-0076,2018-2019,1st Sem,,,IRREGULAR
13-0079,2018-2019,1st Sem,,,IRREGULAR
13-0082,2018-2019,1st Sem,,,IRREGULAR
13-0086,2018-2019,1st Sem,,,IRREGULAR
13-0117,2018-2019,1st Sem,,,IRREGULAR
13-0219,2018-2019,1st Sem,,,IRREGULAR
13-0220,2018-2019,1st Sem,,,IRREGULAR
13-0222,2018-2019,1st Sem,,,IRREGULAR
13-0237,2018-2019,1st Sem,,,IRREGULAR
13-0288,2018-2019,1st Sem,,,IRREGULAR
13-0323,2018-2019,1st Sem,,,IRREGULAR
14-0005,2018-2019,1st Sem,,,IRREGULAR
14-0015,2018-2019,1st Sem,,,IRREGULAR
14-0019,2018-2019,1st Sem,,,IRREGULAR
14-0024,2018-2019,1st Sem,,,IRREGULAR
14-0032,2018-2019,1st Sem,,,REGULAR
14-0033,2018-2019,1st Sem,,,REGULAR
14-0039,2018-2019,1st Sem,,,IRREGULAR
14-0041,2018-2019,1st Sem,,,IRREGULAR
14-0044,2018-2019,1st Sem,,,IRREGULAR
14-0046,2018-2019,1st Sem,,,IRREGULAR
14-0047,2018-2019,1st Sem,,,IRREGULAR
14-0056,2018-2019,1st Sem,,,IRREGULAR
14-0060,2018-2019,1st Sem,,,REGULAR
14-0063,2018-2019,1st Sem,,,IRREGULAR
14-0064,2018-2019,1st Sem,,,IRREGULAR
14-0065,2018-2019,1st Sem,,,REGULAR
14-0076,2018-2019,1st Sem,,,IRREGULAR
14-0079,2018-2019,1st Sem,,,IRREGULAR
14-0083,2018-2019,1st Sem,,,IRREGULAR
14-0090,2018-2019,1st Sem,,,IRREGULAR
14-0092,2018-2019,1st Sem,,,IRREGULAR
14-0096,2018-2019,1st Sem,,,IRREGULAR
14-0101,2018-2019,1st Sem,,,REGULAR
14-0103,2018-2019,1st Sem,,,IRREGULAR
14-0104,2018-2019,1st Sem,,,IRREGULAR
14-0106,2018-2019,1st Sem,,,IRREGULAR
14-0155,2018-2019,1st Sem,,,REGULAR
14-0170,2018-2019,1st Sem,,,IRREGULAR
14-0194,2018-2019,1st Sem,,,IRREGULAR
14-0198,2018-2019,1st Sem,,,IRREGULAR
14-0214,2018-2019,1st Sem,,,IRREGULAR
14-0260,2018-2019,1st Sem,,,IRREGULAR
14-0273,2018-2019,1st Sem,,,IRREGULAR
14-0331,2018-2019,1st Sem,,,IRREGULAR
14-0343,2018-2019,1st Sem,,,IRREGULAR
14-0344,2018-2019,1st Sem,,,IRREGULAR
14-0366,2018-2019,1st Sem,,,IRREGULAR
14-0391,2018-2019,1st Sem,,,IRREGULAR
14-0392,2018-2019,1st Sem,,,IRREGULAR
14-0398,2018-2019,1st Sem,,,IRREGULAR
14-0401,2018-2019,1st Sem,,,IRREGULAR
14-0416,2018-2019,1st Sem,,,REGULAR
14-0420,2018-2019,1st Sem,,,IRREGULAR
14-0421,2018-2019,1st Sem,,,IRREGULAR
14-0424,2018-2019,1st Sem,,,IRREGULAR
14-0428,2018-2019,1st Sem,,,IRREGULAR
14-0437,2018-2019,1st Sem,,,IRREGULAR
14-0439,2018-2019,1st Sem,,,IRREGULAR
15-0006,2018-2019,1st Sem,,,IRREGULAR
15-0023,2018-2019,1st Sem,,,IRREGULAR
15-0035,2018-2019,1st Sem,,,IRREGULAR
